Signatur;EXEMPLARNR;Kurztitel;GTV;ISBN
P 1030c - 8;1607953001;"Britton, D.: Bronze age grave-groups and hoards in the British Museum / ed. by D. Britton (Inventaria archaeologica : G... ; ...)";"Inventaria archaeologica : Great Britain ; 8th Set: GB 48 - 54";
P 1030c - 9;1607951001;"Britton, D.: Late bronze age finds in the Heathery Burn Cave, Co. Durham / ed. by D. Britton .. (Inventaria archaeologica : G... ; ...)";"Inventaria archaeologica : Great Britain ; 9th Set = GB. 55";
P 1030d - 1;1608101001;"Scheibenreiter, Friedrich: Metallzeitliche Funde aus Niederösterreich / von Friedrich Scheibenreiter (Inventaria archaeologica : Ö... ; ...)";"Inventaria archaeologica : Österreich ; H. 1 = A 1 - A 10";
P 1030d - 2;1608102001;"Kromer, Karl: Gemeinlebarn : Hügel I / Karl Kromer (Inventaria archaeologica : Ö... ; ...)";"Inventaria archaeologica : Österreich ; H. 2 = A 11";
P 1030e - 1;1608103001;"Starè, Francè: Tombes Plates à urne à Dobovna en Slovénie et à Velika Gorica en Croatie / par Francè Starè. Publ. par la Société zougoslave... (Inventaria archaeologica : J... ; ...)";"Inventaria archaeologica : Jugoslavija ; Fasc. 1 = Y 1 - Y 10";
P 1030e - 10;1608116001;"Plesnicar-Gec, Ljudmila: La nécropole romaine à Emona / Ljudmila Plesnicar-Gec (Inventaria archaeologica : J... ; ...)";"Inventaria archaeologica : Jugoslavija ; Fasc. 10 = Y 89 - Y 102";
P 1030e - 11;1608118001;"Urleb, Mehtilda: La Nécropole hallstattienne de Krizna gora / par Mehtilda Urleb. Préf. de Stane Gabrovec (Inventaria archaeologica. Ju... ; ...)";"Inventaria archaeologica. Jugoslavija ; Fasc. 11 =  Y 99 - Y 108";
P 1030e - 12;1608120001;"Bolta, Lojze: Nécropole du bas-empire à Rifnik prés de Sentjur / par Lojze Bolta (Inventaria archaeologica : J... ; ...)";"Inventaria archaeologica : Jugoslavija ; Fasc. 12 = Y 109 - 118";
P 1030e - 13;1608121001;"Korosec, Paola: La Nécropole de Ptujski grad Ptuj / Paola Korosec ; Red.: M. Garasanin et J. Kastelic (Inventaria archaeologica : J... ; ...)";"Inventaria archaeologica : Jugoslavija ; Fasc. 13 = Y 119 - Y 128";
P 1030e - 14;1608123001;"Subic, Zorka: La nécropole romaine à Poetovio / Zorka Subic (Inventaria archaeologica : J... ; ...)";"Inventaria archaeologica : Jugoslavija ; Fasc. 14 = Y 129 - Y 138";
