Signatur;EXEMPLARNR;Kurztitel;GTV;ISBN
P 1171;215020005;"Kiewning, Hans: Lippische Geschichte : bis zum Tode Bernhards VIII. vervollständigt / Hans Kiewning (Sonderveröffentlichungen des... ; 7)";"Sonderveröffentlichungen des Naturwissenschaftlichen und Historischen Vereins für das Land Lippe ; 7";
P 1171k;1590024001;Kilbride-Jones, H. E.: Celtic craftsmanship in bronze / H. E. Kilbride-Jones (Croom Helm studies in archaeology);Croom Helm studies in archaeology;0-7099-0387-1
P 1171s - 1;1590030001;"Früheisenzeitliche Funde aus der Südostnekropole von Sala Consilina 1. Text. - 1970. - 400 S. : Kt. (Mitteilungen des D... ; 15,1)(Archäologische For... ; 3,1)";"Mitteilungen des Deutschen Archäologischen Instituts, Römische Abteilung : Ergänzungsheft ; 15,1";
P 1171s - 2;1590031001;"Früheisenzeitliche Funde aus der Südostnekropole von Sala Consilina 2. Tafeln und Beilagen. - 1970. - 280 Taf., 23 Beil.(eingeb.) : nur Ill. (Mitteilungen des D... ; 15,2)(Archäologische Fos... ; 3,2)";"Mitteilungen des Deutschen Archäologischen Instituts, Römische Abteilung : Ergänzungsheft ; 15,2";
P 1171t;1590032001;"Kilian, Klaus: Untersuchungen zu früheisenzeitlichen Gräbern aus dem Vallo di Diano / Klaus Kilian (Archäolo... ; 1)(Mitteilunge... ; 10)";"Archäologische Forschungen in Lukanien ; 1";
P 1172;1590034001;Kilian, Lothar: Haffküstenkultur und Ursprung der Balten / von Lothar Kilian;;
P 1172ab;1590035001;"Kilian, Lothar: Zu Herkunft und Sprache der Prußen : mit Wörterverzeichnis Deutsch-Prußisch / Lothar Kilian (Prussia-... ; 10)(Habelt-Sac... ; 1)";"Prussia-Schriftenreihe ; 10";3-7749-1756-6
P 1173;1590037001;"Kimmig, Wolfgang ; Weinreich, Rudolf: Aus der Geschichte des Altertums : von der Frühgeschichte bis zum Ende der Völkervanderungszeit - 2. Aufl. (Grundzüge der Geschichte ; 1)";"Grundzüge der Geschichte ; Bd 1";
P 1173b;1590039001;Kimmig, Wolfgang: Vorgeschichte zwischen Neckar und Nördlinger Ries. Ein Überblick... / von Wolfgang Kimmig;;
P 1174;218487002;Lippspringe: Lippspringe - Beiträge zur Geschichte / hrsg. von der Stadt und dem Heimatverein Bad Lippspringe. Michael Pavlicic (Bearb.);;3-87088-740-0
P 1175;1590042001;"Kind, Claus-Joachim: Die Verteilung von... / von Claus-Joachim Kind (Urgeschichtliche Materialhefte ; 7)";"Urgeschichtliche Materialhefte ; 7";
P 1175d;1590044001;"Kimmig, Wolfgang: Vorzeit an Rhein und Donau : Südwestdeutschland, Nordschweiz, Ostfrankreich / Wolfgang Kimmig. Aufnahmen von Hellmut Hell (Das Bild in Forschung und ... ; 1)";"¬Das¬ Bild in Forschung und Lehre ; 1";
P 1175s;1590046001;"Kinnes, Ian: Round barrows and ring-ditches in the British Neolithic / Ian Kinnes (Occasional paper / British M... ; 7)";"Occasional paper / British Museum  ; 7";0-86159-006-6
P 1175sb;1590047001;"Kinnes, Ian ; Grant, J. A.: Les Fouaillages and the megalithic monuments of Guernsey / Ian Kinnes & J.A. Grant. Foreword by Glyn Daniel";;0-946346-01-1
P 1175sc;1590048001;"Kinnes, Ian A. ; Longworth, Ian H.: Catalogue of the excavated prehistoric and Romano-British material in the Greenwell Collection / I. A. Kinnes and I. H. Longworth";;0-7141-1371-9
P 1175w;1590049001;"Kinsley, A. G.: The Anglo-Saxon... / report by  A. G. Kinsley (Nottingham archaeological mo... ; 2)";"Nottingham archaeological monographs ; 2";0-904857-02-6
P 1176 - 1;1590051001;"Vorromanische Kirchenbauten 1. Katalog der Denkmäler bis zum Ausgang der Ottonen. - 1966. - 432 S. : zahlr. Ill. (Veröffentlichungen des Zentralinstituts für Kuns... ; 3,1)";"Veröffentlichungen des Zentralinstituts für Kunstgeschichte in München ; 3,1";
P 1176 - 2;1590053001;"Vorromanische Kirchenbauten 2. Nachtragsband. - 1991. - 507 S. : Ill., Kt. (Veröffentlichungen des Zentralinstituts für Kuns... ; 3,2)";"Veröffentlichungen des Zentralinstituts für Kunstgeschichte in München ; 3,2";
P 1176k;1590054001;"Kircher, Karl: Die sakrale Bedeutung des Weines im Altertum / von Karl Kircher - Photomech... (Religionsgeschichtliche Vers... ; 9,2)";"Religionsgeschichtliche Versuche und Vorarbeiten ; 9,2";
P 1177;1590060001;"Kirchner, Horst: Das germanische Altertum in der deutschen Geschichtsschreibung des achtzehnten Jahrhunderts / von Horst Kirchner (Historische Studien ; 333)";"Historische Studien ; 333";
P 1178;1590061001;Lauermann, Ernst: Archäologie einer Landschaft : der Raum Stockerau in ur- und frühgeschichtlicher Zeit / Ernst Lauermann;;
P 1178c;1590063001;Kirchner, Liselore: Jungpaläolithische Handdarstellungen der franko-kantabrischen Felsbilderzone : ein Versuch ihrer Deutung unter Berücksichtigung ethnographischer Parallelen;;
P 1178m;1590065001;"Kirsten, Ernst: Landschaft und Geschichte in der antiken Welt : ausgew. kleine Schriften ; mit Bibliographie d. Verf. von 1935 - 1984 (Geographica historica ; 3)";"Geographica historica ; 3";3-7749-1816-3
P 1179 - 1;1590069001;"Das Glas im Altertume 1.  - 1908. - XXI, 307 S. : Ill. (Hiersemanns Handbücher ; 3,1)";"Hiersemanns Handbücher ; 3,1";
P 1179 - 2;1590070001;"Das Glas im Altertume 2 .  - 1908. - S. 312 - 692 : Ill. (Hiersemanns Handbücher ; 3,2)";"Hiersemanns Handbücher ; 3,2";
P 1179 - 3;1590071001;"Das Glas im Altertume 3.  - 1908. - S. 696 - 978 : Ill. (Hiersemanns Handbücher ; 3,3)";"Hiersemanns Handbücher ; 3,3";
P 1179d;1590073001;"Kiss, Ákos: Roman mosaics in Hungary / Ákos Kiss (Fontes archaeologici hungariae ; [2])";"Fontes archaeologici hungariae ; [2]";
P 1179g;1590075001;"Kiss, Attila: Das römerzeitliche Wagengrab von Kozármisleny : (Ungarn, Kom. Baranya) / Attila Kiss ; mit einem Anh. von Sándor Bökönyi:... (Régészeti füzetek : Ser. 2 ; 25)";"Régészeti füzetek : Ser. 2 ; 25";
P 1179h;1590077001;"Kiss, Gábor ; Somogyi, Péter: Tolna megyei avar temetÍok = Awarische Gräberfelder im Komitat Tolna / Kiss Gábor ; Somogyi Péter (Dissertationes Pannonicae : ... ; 2)";"Dissertationes Pannonicae : Series 3 ; 2";3-7749-2318-3
P 1179m;215120007;"Kittel, Erich: Heimatchronik des Kreises Lippe / von Erich Kittel ; mit einem Beitr. von Rolf Böger - 2. verb.... (Sonderve... ; 28)(Heimatchro... ; 44)";"Sonderveröffentlichungen des Naturwissenschaftlichen und Historischen Vereins für das Land Lippe ; 28";
P 1179mb;215117002;"Kittel, Erich: Die Externsteine : ein kritischer Bericht zu ihrer Erforschung und Deutung / Erich Kittel - 3. Aufl. (Sonderveröffentlichungen des... ; 18)";"Sonderveröffentlichungen des Naturwissenschaftlichen und Historischen Vereins für das Land Lippe ; 18";
P 1179r;1590079001;Kitzinger, Ernst: Early medieval art in the British Museum and British Library - 3. ed.;;0-7141-0528-7
P 1179rb;1590080001;Kitzinger, Ernst: Byzantinische Kunst im Werden : Stilentwicklungen in d. Mittelmeerkunst vom 3. bis zum 7. Jahrh. / Ernst Kitzinger. Übers.... (DuMont-Dokumente);DuMont-Dokumente;3-7701-1374-8
P 1179u - 1;1590082001;Die Eisenzeit Finnlands I. Bilderatlas und Text. - 1951. - 60 S, 74 Taf.,;;
P 1179u - 2;1590083001;Die Eisenzeit Finnlands II.  - 1951. - 46 S., Taf. 75 - 160 : Ill.;;
P 1179x;1590085001;Kivikoski, Ella: Finlands förhistoria / av Ella Kivikoski;;
P 1180;1590087001;Kivikoski, Ella: Kvarnbacken : ein Gräberfeld der jüngeren Eisenzeit auf Åland / von Ella Kivikoski (Finnische Altertumsgesellschaft);Finnische Altertumsgesellschaft;
P 1180b;1590088001;"Kjellberg, Ernst ; Säflund, Gösta: Greek and Roman art : 3000 B.C. to A.D. 550 / Ernst Kjellberg ; Gösta Säflund";;
P 1180bk;1590089001;"Kjellén, Einar: Upplands hällristningar = The rock carvings of Uppland, Sweden / Einar Kjellén. Med bidrag av Bernt Einarstam... (Monografier / Kungl. Vitterh... ; 56)";"Monografier / Kungl. Vitterhets Historie och Antikvitetsakademien ; 56";91-7402-020-X
P 1180cq;1590241001;Klaatsch, Hermann: Die Anfänge von Kunst und Religion in der Urmenschheit / Hermann Klaatsch;;
P 1180d;1590242001;Klaatsch, Hermann: Der Werdegang der Menschheit und die Entstehung der Kultur / Hermann Klaatsch. Nach dem Tode d. Verf. hrsg. v. Adolf Heilborn - 2. durchg...;;
P 1180m;709848003;Klausewitz, Wolfgang: 66 Jahre Deutscher Museumsbund / von Wolfgang Klausewitz;;3-7927-0789-6
P 1181;1575165002;"Kleemann, Georg: Schwert und Urne : Ausgrabungen in Deutschland ; Methoden und Funde / Georg Kleemann";;
P 1182;1590243001;"Professor Dr. Otto Kleemann zum 80. Geburtstag / [hrsg. von Klaus Schäfer] (Pellenz-Museum ; 5)";"Pellenz-Museum ; 5";
P 1182w;1590244001;Kleemann, Otto: Vor- und Frühgeschichte des Kreises Ahrweiler / Otto Kleemann - Stark erw...;;3-7749-1120-7
P 1182x;1590245001;"Kleemann, Otto: Die Anfänge der Geschichte Schlesiens : Konzept einer landeskundlichen Vorgeschichte / von Otto Kleemann (Osteuropa und der deutsche O... ; 5)";"Osteuropa und der deutsche Osten : Reihe 1, Rheinische Friedrich-Wilhelms-Universität Bonn ; 5";
P 1183;1590246001;Kleemann, Otto: Einige älterbronzezeitliche Funde aus dem Silinggau in Schlesien / Otto Kleemann (Mitteilung aus dem Museum für Miner...);"Mitteilung aus dem Museum für Mineralogie, Geologie und Vorgeschichte zu Dresden : Vorgeschichtliche Reihe ; Nr 24";
P 1183d;1590247001;Kleemann, Otto: Vorgeschichte Schlesiens / Otto Kleemann;;
P 1183m;1590248001;"Klees, Hans: Herren und Sklaven : die Sklaverei im oikonomischen und politischen Schrifttum der Griechen in klassischer Zeit (Forschungen zur antiken Skla... ; 6)";"Forschungen zur antiken Sklaverei ; 6";3-515-01878-6
P 1184;729446002;"Klein, Hans-Joachim ; Wüsthoff-Schäfer, Barbara: Inszenierung an Museen und ihre Wirkung auf Besucher / Hans-Joachim Klein und Barbara Wüsthoff-Schäfer (Materialien aus dem Institut... ; 32)";;
P 1184k;1590249001;"Klein, Richard G. ; Cruz-Uribe, Kathryn: The analysis of animal bones from archeological sites (Prehistoric archeology and ecology)";Prehistoric archeology and ecology;0-226-43957-7
P 1185;1590250001;Kleinschmidt, Otto: Der Urmensch : mit 16 Taf u. 44 Abb. im Text / O[tto] Kleinschmidt - 2. Aufl.;;
P 1186;1511421002;Die Römerzeit / von Richard Petrovszky ... [Historisches Museum der Pfalz, Speyer]. Hrsg. von Meinrad Maria Grewenig;;3-7757-0547-3
P 1187;1590251001;"Kleist, Diether von: Die urgeschichtlichen Funde des Kreises Schlawe / von Diether v. Kleist (Atlas der Urgeschichte : Beih. ; 3)";"Atlas der Urgeschichte : Beih. ; 3";
P 1187k;1590252001;"Klemenc, Josip: Ptujski grad v kasni antiki / Josip Klemenc (Slovenska Akademija Znanosti... ; 4)";"Slovenska Akademija Znanosti in Umetnosti : Razred za Zgodovinske in Druzbene Vede ; 4";
P 1188;1590253001;"Neugebauer, Johannes-Wolfgang: Die Kelten im Osten Österreichs / Johannes-Wolfgang Neugebauer. Mit Beitr. von Elisabeth Jerem ... - 3., durch... (Wissenschaftliche Schriftenr... ; ...)";"Wissenschaftliche Schriftenreihe Niederösterreich ; 92/94";3-85326-949-4
P 1188b;1400255002;Klemm, Gustav: Die Werkzeuge und Waffen, ihre Entstehung und Ausbildung / von Gustav Klemm - Neudruck...;;
P 1188e;1590254001;Kleßmann, Eckart: Unter unseren Füßen : neue archäologische Funde in Deutschland / Eckart Kleßmann - 1. Aufl.;;3-430-15483-9
P 1188g;1590255001;"Kletler, Paul: Nordwesteuropas Verkehr, Handel und Gewerbe im frühen Mittelalter / Paul Kletler.  (Deutsche Kultur : Historisch... ; 2)";"Deutsche Kultur : Historische Reihe ; 2";
P 1188z;1590256001;"Klíma, Bohuslav: Die große Anhäufung von Mammutknochen in Dolní Vestonice / Bohuslav Klíma (Prírodovedné práce Ústavu Ce... ; ...)";"Prírodovedné práce Ústavu Ceskoslovenské Akademie Ved v Brne ; N.S.,3,6";
P 1188zd;1590257001;"Klíma, Bohuslav: Die paläolithische Station Pavlov II / Bohuslav Klîma (Prírodovedné práce Ústavu ÏC... ; ...)";"Prírodovedné práce Ústavu ÏCeskoslovenské Akademie Ved v Brne ; N.S.,10,4";
P 1189;1590258001;Haase, Richard: Untersuchungen zur Verwaltung des spätrömischen Reiches unter Kaiser Justinian I. : (527 bis 565) / von Richard Haase;;3-88226-758-5
P 1189de - 1;1590261001;"Slusegårdgravpladsen 1. Anlaegstyper, planer, plancher. - 1978. - 213 S. : zahlr. Ill., überw. Kt. (Jysk Arkaelogisk Selskabs skrifter ; 14,1)";"ysk Arkaelogisk Selskabs skrifter ; 14,1";87-01-81001-4
P 1189de - 2;1590262001;"Slusegårdgravpladsen 2. Beskrivelse af oprindeling overflade og grave. - 1978. - 296 S. : Ill. (Jysk Arkaeologisk Selskabs skrifter ; 14,2)";"Jysk Arkaeologisk Selskabs skrifter ; 14,2";87-01-81011-1
P 1189dg;1590263001;Klindt-Jensen, Ole: Foreign Influences in Denmark's early iron age / Ole Klindt-Jensen;;
P 1189dh;1590264001;Klindt-Jensen, Ole: A History of Scandinavian archeology : with 124 illustr. / Ole Klindt-Jensen. (Transl. from the Danish by G. Russel Poole) (World of archeology);World of archeology;0-500-79006-X
P 1189dk;1590259001;"Klindt-Jensen, Ole: Bronzekedelen fra brå : tidlige keltiske indflydelser i Danmark = The bronze cauldron from brå / Ole Klindt-Jensen (Jysk Arkæologisk Selskabs sk... ; 3)";"Jysk Arkæologisk Selskabs skrifter ; 3";
P 1189e;1590265001;Klindt-Jensen, Ole: Gundestrupkedelen / af Ole Klindt-Jensen;;
P 1189h;1590266001;"Klindt-Jensen, Ole ; Wilson, David M.: Vikingetidens kunst / af Ole Klindt-Jensen og David M. Wilson";;
P 1189k;1590267001;Klindt-Jensen, Ole: Welt der Wikinger : Text von Ole Klindt-Jensen, Ill. von Svenolov Ehren / von Ole Klindt-Jensen und Svenolov Ehren;;
P 1189l;1590268001;Klingenberg, Heinz (Philologe): Runenschrift, Schriftdenken, Runeninschriften / Heinz Klingenberg (Germanische Bibliothek : Reihe 3, U...);Germanische Bibliothek : Reihe 3, Untersuchungen und Einzeldarstellungen;3-533-02180-7
P 1189m;1590269001;"Klinger, Friedrich: Tacitus über Augustus und Tiberius : Interpretationen zum Eingang der Annalen / Friedrich Klinger (Sitzungsberichte d. Bayerisc... ; ...)";"Sitzungsberichte d. Bayerischen Akademie d. Wissenschaften : Phil.-hist. Kl. ; 1953,7";
P 1190;1590270001;"Klocke, Fritz: Bodendenkmale des Kreises Quedlinburg / Fritz Klocke (Museumsbücherei Quedlinburg ; 4)";"Museumsbücherei Quedlinburg ; 4";
P 1191;1590271001;"Borman, Ruud: Arnhem onder de grond : bewoningsgeschiedenis van stad en omgeving / Ruud Borman (Historische reeks Arnhem ; 3)";"Historische reeks Arnhem ; 3";90-5345-033-5
P 1192;1590272001;Zeiler, Frits David: Onder de hei : archeologische en historisch-geografische landschapselementen in het Gooi / Frits David Zeiler;;90-5345-048-3
P 1193;1590273001;Schäfer, Christoph: Der weströmische Senat als Träger antiker Kontinuität unter den Ostgotenkönigen : (490 - 540 n. Chr.) / Christoph Schäfer;;3-922661-89-0
P 1194 - 1;1590275001;"Die Skulpturenausstattung römischer Militäranlagen an Rhein und Donau 1. Text. - 1992. - VI, 231 S. : graph. Darst. (Pharos ; 1,1)";"Pharos ; 1,1";
P 1194 - 2;1590276001;"Die Skulpturenausstattung römischer Militäranlagen an Rhein und Donau 2. Katalog. - 1992. - S. 233 - 686 : Ill., Kt. (Pharos ; 1,2)";"Pharos ; 1,2";
P 1195 - 1;1590278001;"Die Menschen von Linz-Zizlau1. Bildband. - 1973. - XII, 249 S. : überw. Ill. (Linzer archäologische Forschungen ; 5)";"Linzer archäologische Forschungen ; 5";
P 1195 - 2;1590279001;"Die Menschen von Linz-Zizlau 2.  - 1975. - 112, XII S. : Ill. (Linzer archäologische Forschungen ; 6)";"Linzer archäologische Forschungen ; 6";
P 1195 - 3;1590280001;"Die Menschen von Linz-Zizlau 3.  - 1978. - 88, IV S. : Ill., graph. Darst. (Linzer archäologische Forschungen ; 7)";"Linzer archäologische Forschungen ; 7";
P 1196;1590281001;Klok, R. H. J: Hunebedden in Nederland : zorgen voor morgen / R.H. Klok;;90-228-3740-8
P 1196k - 2;501919005;"Chronik des Dorfes Referinghausen 2.  - 1986. - S. 213-454 : Ill., graph. Darst. (Schriften des Heimat- und Geschichtsvereins Mede... ; 5)";"Schriften des Heimat- und Geschichtsvereins Medebach ; 5";
P 1197;1590282001;"Kloss, Ferdinand: Goldvorrat und Geldverkehr im Merowingerreich / Ferdinand Kloss - Neudr.... (Veröffentlichungen des Semin... ; 5)";"Veröffentlichungen des Seminars für Wirtschafts- und Kulturgeschichte an der Universität Wien ; 5";3-511-06935-1
P 1198;1590283001;"Tenger, Bernhard: Die Verschuldung im römischen Ägypten : (1. - 2. Jh. n. Chr.) / Bernhard Tenger (Pharos ; 3)";"Pharos ; 3";3-928134-79-5
P 1199;1590284001;"Jacobsen, Gurli: Primitiver Austausch... / Gurli Jacobsen (Pharos ; 5)";"Pharos ; Bd. 5";3-89590-003-6
P 1200 - 1;1590286001;C. Ivli Caesaris Commentarii 1. Commentarii belli gallici. - Ed. 4 - 1952. - XLVIII, 259 S.;;
P 1201;114914002;"Kluge, Bernd: Deutsche Münzgeschichte von der späten Karolingerzeit bis zum Ende der Salier : (ca. 900 bis 1125) ; [zur Ausstellung... (Monograp... ; 29)(Publikationen zur...)";"Monographien / Römisch-Germanisches Zentralmuseum ; 29";3-7995-4139-X
P 1202;1590287001;Kluge, Friedrich: Deutsche Namenkunde / Friedrich Kluge - 2. Aufl.;;
P 1203;1590288001;"Kmiecinski, Jerzy: Zagadnienie tzw. kultury gocko-gepidzkiej na Pomorzu wschodnim w okresie wczesnorzymskim / Jerzy Kmiecinski (Acta archaeologica Lodziensia ; 11)";"Acta archaeologica Lodziensia ; 11";
P 1204;1590289001;Knaff, A.: Beiträge zur Geschichte der Eisenindustrie an der mittleren Sieg / von A. Knaff;;
P 1205;215341002;Kneebusch, Karl: Führer durch das Sauerland, Siegerland, Bergische- und Oberbergische Land, Ruhrland, Wittgenstein und Waldeck / Kneebusch. Hrsg. in Zusammenarbeit... - 29. Aufl.;;
P 1206;1201276002;Bruijn, Anton: Spiegelbeelden : Werra-Keramik uit Enkhuizen 1605 / Zuiderzeemuseum <Enkhuizen>;;90-801044-1-8
P 1207;1590291001;"Warringa, Alette ; Haaff, Gerad van: Opgraven : technieken voor archeologisch veldwerk / Alette Warringa ; Gerad van Haaff - 2e, herz.... (AWN monografie ; 5)";"AWN monografie ; 5";90-70482-68-1
P 1208;1590299001;Internationales Symposium über die Lengyel-Kultur 1888 - 1988 : Znojmo - Kravsko - Tesetice, 3. - 7. 10. 1988 / [Sestavil : Pavel Kosturik];;80-210-0961-6
P 1209;1590300001;Romeinen, Friezen en Franken in het hart van Nederland : van Traiectum tot Dorestad 50 v. Chr.- 900 na Chr. / onder redactie van W. A. van Es ...... - 2. dr.;;90-5345-049-1
P 1210;1590301001;"Knobloch, Ludwig: Agrar- und Verfassungsgeschichte des Wormsgaues im Mittelalter / Ludwig Knobloch (Der Wormsgau : Beiheft ; 10)";"¬Der¬ Wormsgau : Beiheft ; 10";
P 1211;1590302001;"Brand, Cordula: Zur eisenzeitlichen Besiedlung des Dürrnberges bei Hallein / Cordula Brand (Internationale Archäologie ; 19)";"Internationale Archäologie ; 19";3-924734-37-2
P 1212;1590304001;Knochenhauer, Theodor: Geschichte Thüringens in der karolingischen und sächsischen Zeit / Theodor Knochenhauer;;
P 1213;1590307001;"Der Jakobuskult in Süddeutschland : Kultgeschichte in regionaler und europäischer Perspektive / hrsg. von Klaus Herbers... (Jakobus-Studien ; 7)";"Jakobus-Studien ; 7";3-8233-4007-7
P 1214;;"L'artisanat en Gaule romaine : publié pour les 25 ans d'Archéolo-J à l'occasion du ""Salon de l'artisanat gallo-romain"", Floreffe, 12-23 mai 1994 / ed. Archeolo-J....";;
P 1215;1590314001;Knoke, Friedrich: Die Kriegszüge des Germanicus in Deutschland / von Friedrich Knoke - 2., mehrf...;;
P 1215k;1590317001;Knoke, Friedrich: Gegenwärtiger Stand der Forschungen über die Römerkriege im nordwestlichen Deutschland / von F. Knoke;;
P 1216;1590319001;Knoke, Friedrich: Der römische Tumulus auf dem Schlachtfelde des Teutoburger Waldes / von Friedrich Knoke;;
P 1217;1590321001;Bergdolt, Klaus: Der Schwarze Tod in Europa : die große Pest und das Ende des Mittelalters / Klaus Bergdolt - 2., unver...;;3-406-38064-6
P 1218;1590323001;"Frankfurt am Main Niedereschbach 1. Die Befunde. - 1992. - 151 S. : zahlr. Ill., graph. Darst., Kt. (Beiträge zum Denkmalschutz in Frankfurt am Main ; 5)";"Beiträge zum Denkmalschutz in Frankfurt am Main ; 5";
P 1219;1590324001;"Hainzmann, Manfred ; Pochmarski, Erwin: Die römerzeitlichen Inschriften und Reliefs von Schloß Seggau bei Leibnitz / Manfred Hainzmann ; Erwin Pochmarski (Die römerzeitlichen Steind... ; 1)";"Die römerzeitlichen Steindenkmäler der Steiermark ; 1";3-7011-7283-8
P 1220;1590325001;Timpe, Dieter: Romano-Germanica : gesammelte Studien zur Germania des Tacitus / Dieter Timpe;;3-519-07428-1
P 1221;1590326001;"Association Française d'Archéologie Mérovingienne: L' habitat rural... / Textes réunis par Claude Lorren et Patrick Périn (Mémoires publiés par l'Assoc... ; 6)";"Mémoires publiés par l'Association Française d'Archéologie Mérovingienne ; 6";2-9505595-3-0
P 1222;1590328001;"Zwettler Symposion <5, 1993>: Historiographie im frühen Mittelalter : (Symposion Stift Zwettl 1994) / hrsg. von Anton Scharer und Georg Scheibelreiter (Veröffentlichungen des Insti... ; 32)";"Veröffentlichungen des Instituts für Österreichische Geschichtsforschung ; 32";3-486-64832-2
P 1223;802478002;Stoob, Heinz: Die Hanse / Heinz Stoob;;3-222-12272-5
P 1224;1590330001;Universität <Jena>: Prinzipat und Kultur im 1. und 2. Jahrhundert : wissenschaftliche... / hrsg. von Barbara Kühnert, Volker Riedel ...;;3-7749-2674-3
P 1225;509919002;"Bauforschung : Dokumentation und Auswertung / Gisbert Knopp ; Norbert Nußbaum ; Ulrich Jacobs (Arbeitsheft der rheinischen ... ; 43)";"Arbeitsheft der rheinischen Denkmalpflege ; 43";3-7927-1097-8
P 1226 - 2;1590332001;"Burg, Burgstadt, Stadt : zur Genese mittelalterlicher nichtagrarischer Zentren in Ostmitteleuropa / hrsg. von Hansjürgen Brachmann (Forschungen zur Geschichte u... ; [2])";"Forschungen zur Geschichte und Kultur des östlichen Mitteleuropa ; [2]";3-05-002601-4
P 1226 - 21;1609133001;"Slawen und Deutsche in der Uckermark : vergleichende Untersuchungen zur Siedlungsentwicklung vom 11. bis zum 14. Jahrhundert (Forschungen zur Geschichte u... ; 21)";"Forschungen zur Geschichte und Kultur des östlichen Mitteleuropa ; 21";3-515-08604-8
P 1226 - 31;1609134001;"Ortsnamen und Siedlungsentwicklung : das nördliche Mecklenburg im Früh- und Hochmittelalter / von Elzbieta Foster und... (Forschungen zur Geschichte u... ; 31)";"Forschungen zur Geschichte und Kultur des östlichen Mitteleuropa ; 31";978-3-515-08938-8
P 1226 - 5;1610898001;"Struktur und Wandel im Früh- und Hochmittelalter : eine Bestandsaufnahme aktueller Forschung zur Germania Slavica (Forschungen zur Geschichte u... ; 5)";"Forschungen zur Geschichte und Kultur des östlichen Mitteleuropa ; 5";3-515-07114-8
P 1226 - 8;1610897001;"Slawische Siedlung und Landesausbau im nordwestlichen Mecklenburg / von Peter Donat, Heike Reimann und Cornelia Willich (Forschungen zur Geschichte u... ; 8)";"Forschungen zur Geschichte und Kultur des östlichen Mitteleuropa ; 8";3-515-07620-4
P 1227 - 1;1590339001;"Hansen,Svend: Studien zu den Metalldeponierungen während der älteren Urnenfelderzeit ...1.  - 1994. - X, 406 S. : Ill., graph. Darst., Kt. (... ; 21,1)";"...; 21,1";
P 1227 - 2;1590341001;"Studien zu den Metalldeponierungen während der älteren Urnenfelderzeit zwischen Rhônetal und Karpatenbecken 2.  - 1994. - S. 407 - 613, 35 S. : Ill., graph. Darst., Kt. (... ; 21,2)";"...; 21,2";
P 1228;1590373001;"Fund und Deutung : neuere archäologische Forschungen im Kreis Neuss / Hrsg.: Kreisheimatbund Neuss e.V. Schriftleitung:... (Veröffentlichung des Kreishe... ; 5)";"Veröffentlichung des Kreisheimatbundes Neuss e.V. ; 5";3-923607-6-4
P 1229;1590376001;"Forschungen zur Geschichte der Keramik in Schwaben / zsgest. von Werner Endres, Wolfgang Czysz... Mit Beitr. von Ingolf Bauer ... (Arbeitsheft / Bayerisches La... ; 58)";"Arbeitsheft / Bayerisches Landesamt für Denkmalpflege ; 58";3-87490-560-8
P 1230;1590377001;Knorr, Friedrich: Friedhöfe der älteren Eisenzeit in Schleswig-Holstein / von Friedr. Knorr;;
P 1230t;1590384001;"Knorr, Robert ; Sprater, Friedrich: Die westpfälzischen Sigillata-Töpfereien von Blickweiler und Eschweiler Hof / von R. Knorr u. Fr. Sprater (Veröffentlichungen / Histori... ; 3)";"Veröffentlichungen / Historisches Museum der Pfalz <Speyer> ; 3";
P 1230x;1590385001;Knorr, Robert: Die verzierten Terra-Sigillata-Gefäße von Cannstatt und Köngen-Grinario / von Robert Knorr;;
P 1231;1590386001;Knorr, Robert: Terra-Sigillata-Gefässe des ersten Jahrhunderts mit Töpfernamen / Robert Knorr;;
P 1231b;1590387001;Knorr, Robert: Die verzierten Terra-Sigillata-Gefäße von Rottenburg-Sumelocenna / von Robert Knorr;;
P 1231c;1590388001;Knorr, Robert: Die verzierten Terra-Sigillata-Gefässe von Rottweil / von Robert Knorr;;
P 1232;1590390001;Knorr, Robert: Töpfer und Fabriken verzierter Terra-Sigillata des ersten Jahrhunderts / Robert Knorr;;
P 1233;1590391001;"Knussert, Richard: Das Füssener Land in früher Zeit / Richard Knussert (Allgäuer Heimatbücher ; 53)";"Allgäuer Heimatbücher ; 53";
P 1234;1590392001;"Knutsson, Kjel: Patterns of tool use : scanning electron microscopy of experimental quartz tools / Kjel Knutsson (Aun ; 10)";"Aun ; 10";91-506-0661-1
P 1234b;1590395001;"Knutsson, Kjel: Making and using stone... / Kjel Knutsson (Aun ; 11)";"Aun ; 11";
P 1235;1590398001;Koch, Albert: Vor- und Frühgeschichte Starkenburgs / Albert Koch;;
P 1236;14787004;"Koch, Horst G.: Bevor die Lichter erloschen : über Erzbergwerke und Hütten ; Berg- und Hüttenleute zwischen Sieg und Wied sowie in Wittgensteiner Land / Horst G. Koch";;
P 1237;19584005;"Koch, Josef: Frühe Verkehrsstrassen in der östlichen westfälischen Bucht : straßengeschichtliche Untersuchung zur Verkehrslage der... (Schriftenreihe des Heimatver... ; 3)";"Schriftenreihe des Heimatvereins Neuenbeken ; 3";
P 1238;1590401001;"Koch, Hubert: Die Villa rustica von Treuchtlingen-Weinbergshof / Hubert Koch (Internationale Archäologie ; 13)";"Internationale Archäologie ; 13";3-924734-31-3
