Signatur	STANDORT_Hilfsspalte	STANDORT2	STANDORT3	ZUGANGSNR	EXEMPLARNR	Kurztitel	GTV	HST	Sachgruppe	Ort	"Epoche/
Räume"	ISBN
P 1012 - 3,2	P 001012 - 3,2	Zentrale		BV95/82	1586936001	Katalog der Sammlung antiker Kleinkunst des Archäologischen Instituts der Universität Heidelberg 3,2. Die Fibeln. - 1994. - IX, 147, 15 S. : Ill.		¬Die¬ Fibeln	"MET;KLE"	D	"EZ;RKZ"	3-8053-1537-6
P 1013	P 001013	Zentrale		BV95/91	1586942001	"Knutsson, Helena: Slutvandrat? : Aspekter på övergången från rörlig till bofast tillvaro / av Helena Knutsson (Archaeological studies ; 20)"	"Archaeological studies ; 20"	Slutvandrat?	"GRÄ;GSL"	SK	"PAL/MES;NEO"	91-506-1093-7
P 1014	P 001014	Zentrale		BV95/92	1586943001	"Coles, John: Rock carvings of Uppland : a guide / John Coles (Occasional papers in archaeo... ; 9)"	"Occasional papers in archaeology ; 9"	Rock carvings of Uppland	"KU;STE"	SK	BZ	91-506-1084-8
P 1015	P 001015	Zentrale		B54/700	1586944001	Hure, Augusta: Le Sénonais aux ages du bronze et du fer : les sons d'après l'archéologie / par Augusta Hure		Le Sénonais aux ages du bronze et du fer	GES	F	"BZ;EZ"	
P 1015b	P 001015b	Zentrale		BV82/121	1586946001	Hure, Augusta: Le Sénonais préhistorique / par Augusta Hure		¬Le¬ Sénonais préhistorique	GES	F	"PAL/MES;NEO"	
P 1015c	P 001015c	Zentrale		BV82/120	1586949001	Hure, Augusta: Le Sénonais gallo-romain / par Augusta Hure - Repr		¬Le¬ Sénonais gallo-romain	GES	F	RKZ	
P 1015m	P 001015m	Zentrale		BV86/389	1586952001	Hurk, Lambertus J. van den: The tumuli from the Roman period of Esch, province of North Brabant / Lambertus Johannes Alphonsus Maria van den Hurk		¬The¬ tumuli from the Roman period of Esch, province of North Brabant	GRÄ	BEN	RKZ	
P 1015s	P 001015s	Zentrale			1586954001	"Hurst, H. R.: Kingsholm : excavations at Kingsholm Close and the other sites with a discussion of the archaeology of the area (Gloucester archaeological re... ; 1)"	"Gloucester archaeological reports ; 1"	Kingsholm	"SIE;GRÄ"	BR	"RKZ;VWZ/FMA"	
P 1016	P 001016	Zentrale		BV79/572	1586958001	"Husain, B. M. C.: Cheshire under the Norman earls / by B. M. C. Husain (A  history of Cheshire ; 4)"	"A history of Cheshire ; 4"	Cheshire under the Norman earls	GE	BR	MA/NZ	
P 1017	P 001017	Zentrale		BV95/95	221033005	Petzmeyer, Heinrich: Sendenhorst : Geschichte einer Kleinstadt im Münsterland / Heinrich Petzmeyer		Sendenhorst	"KULT;GE"	W	MA/NZ	3-923166-43-5
