EXEMPLARNR;ISBN
1590289001;
215341002;
1201276002;90-801044-1-8
1590291001;90-70482-68-1
1590299001;80-210-0961-6
1590300001;90-5345-049-1
1590301001;
1590302001;3-924734-37-2
1590304001;
1590307001;3-8233-4007-7
;
1590314001;
1590317001;
1590319001;
1590321001;3-406-38064-6
1590323001;
1590324001;3-7011-7283-8
1590325001;3-519-07428-1
1590326001;2-9505595-3-0
1590328001;3-486-64832-2
802478002;3-222-12272-5
1590330001;3-7749-2674-3
509919002;3-7927-1097-8
1590332001;3-05-002601-4
1609133001;3-515-08604-8
1609134001;978-3-515-08938-8
1610898001;3-515-07114-8
1610897001;3-515-07620-4
1590339001;
1590341001;
1590373001;3-923607-6-4
1590376001;3-87490-560-8
1590377001;
1590384001;
1590385001;
1590386001;
1590387001;
1590388001;
1590390001;
1590391001;
1590392001;91-506-0661-1
1590395001;
1590398001;
14787004;
19584005;
1590401001;3-924734-31-3
1590402001;3-8204-5167-6
1590403001;
1590404001;3-8053-0480-3
13653002;3-412-06471-8
1590406001;3-8053-1685-2
300709002;3-402-06243-7
1550268002;3-922027-88-1
401509001;3-910011-05-5
1590407001;3-7995-3628-0
215431003;
1590408001;
1590410001;
1590411001;3-908025-46-X
1590413001;3-7608-3649-6
1590414001;3-7757-0557-0
1200217002;3-926011-28-9
506545002;
801704002;
509097004;3-7923-0680-8
1866010;3-927789-78-X
301492002;388789-117-1
1590417001;
1605455001;
1590419001;
1590423001;
1590425001;3-406-04801-3
215648002;
215649002;
215650002;3-525-35377-4
1501409001;3-525-35436-3
1501410003;3-525-35311-1
1560685001;3-525-35309-X
1560686001;978-3-525-36521-2
1590437001;3-534-04685-4
1590440001;3-534-04166-6
1590444001;
1590446001;3-8062-0293-1
1590449001;3-900401-39-2
1590450001;
1590573001;
1590577001;
127020002;
1590590001;
1590591001;
1590593001;
1590594001;
1590595001;
215507003;
1590596001;
1590597001;
1590599001;
1590601001;
1590603001;
1590605001;3-922616-00-3
215517002;
1590606001;
1590607001;
1590610001;
1590612001;
1590614001;
1590616001;
8445005;
1590617001;
1590618001;3-406-03172-2
1590621001;
1590622001;
1590624001;
1590626001;
1590629001;
1590631001;
1590633001;
1590634001;
1590635001;
1590636001;3-406-09041-9
1605446001;
1605450001;
1605451001;
1590637001;82-90215-80-0
1590638001;3-534-03870-3
1590639001;
1590641001;
1590642001;
1590643001;
1590645001;963-7421-37-8
215771002;
215770002;
1590649001;
1590652001;
1590654001;
1590660001;3-406-06775-1
1590665001;
1590667001;
1590669001;
1590670001;
1590671001;
1590674001;
1590676001;
1590677001;
1590686001;
1590687001;
1590688001;
1590689001;3-929055-36-8
1590690001;
1590691001;
1590693001;
1590694001;
1590695001;
1590696001;
1590697001;
1590698001;
1590699001;
1590700001;
1590701001;
1590702001;
