Signatur	ISBN	neue RVK	neue Schlagwoerter
P 1258c			
P 1258d	3-406-04801-3		
P 1258h - 1			
P 1258h - 2			
P 1258h - 3	3-525-35377-4		
P 1258h - 4	3-525-35436-3		
P 1258h - 5	3-525-35311-1		
P 1258h - 6	3-525-35309-X		
P 1258h - 7	978-3-525-36521-2		
P 1258kd	3-534-04685-4		
P 1258ke	3-534-04166-6		
			
P 1258ob	3-8062-0293-1		
P 1259 - 1	3-900401-39-2		
P 1259 - 2			
P 1259k			
P 1260			
P 1260b			
P 1260h - 1			
P 1260h - 2			
P 1260h - 3			
P 1260h - 4			
P 1261			
P 1261a			
P 1262			
P 1263			
P 1264			
P 1264d			
P 1265			
P 1265b	3-922616-00-3		
P 1265c			
P 1266			
P 1267			
P 1268			
P 1269			
P 1270			
P 1271			
P 1271d			
P 1272			
P 1272p	3-406-03172-2		
P 1273p - 1			
P 1273p - 2			
P 1273r			
P 1273s			
P 1273sa			
P 1273sb			
P 1273sc			
P 1273sd			
P 1273sda			
P 1273u	3-406-09041-9		
P 1273v - 1			
P 1273v - 2			
P 1273v - 3			
P 1274	82-90215-80-0		
P 1275	3-534-03870-3		
P 1275h			
P 1276 - 1			
P 1276 - 2			
P 1277			
P 1277g	963-7421-37-8		
P 1277m - 1			
P 1277m - 2			
P 1278 - 1			
P 1278 - 2			
P 1278b			
P 1278bb	3-406-06775-1		
P 1278c - 1			
P 1278c - 2			
P 1278x			
P 1278y			
P 1278z			
P 1279			
P 1279b			
P 1279r			
P 1282			
P 1283			
P 1283b			
P 1284	3-929055-36-8		
P 1285			
P 1285b			
P 1286 - 1			
P 1286 - 2			
P 1286a			
P 1286f			
P 1286h			
P 1286ha			
P 1286hab			
P 1286hc			
P 1286hd			
P 1286hs			
